expiry,date,cfg,dte,spot,credit,sc_d,sp_d,lc_d,lp_d,call_width,put_width,pnl_pts,max_dd_pts,gross,slip,stat,buy_turn,sell_turn,net,maxloss,year
20180705,2018-06-27,0.35/0.15,8.24,26587.8,165.5,0.361,-0.348,0.139,-0.161,400,400,8.549999999999983,-22.19999999999996,2564.999999999995,384.2333812063691,373.37415999999996,99405.0,101970.00000000001,1807.3924587936262,70350.0,2018
20180705,2018-06-27,0.25/0.1,8.24,26587.8,61.64999999999999,0.229,-0.24,0.139,-0.161,200,200,7.349999999999987,-13.600000000000009,2204.9999999999964,382.9953533386606,316.72033899999997,68610.0,70815.0,1505.2843076613358,41505.00000000001,2018
20180705,2018-06-28,0.35/0.15,7.24,26394.3,148.09999999999997,0.349,-0.345,0.162,-0.153,300,400,-2.05000000000004,-19.400000000000034,-615.0000000000119,182.16338351601908,365.7739438,97350.0,96735.0,-1162.9373273160309,75570.00000000001,2018
20180705,2018-06-28,0.25/0.1,7.24,26394.3,99.6,0.273,-0.236,0.088,-0.122,400,300,10.799999999999983,-2.0500000000000114,3239.999999999995,135.17333668187734,305.56829859999993,61815.0,65055.0,2799.2583647181173,90120.0,2018
20180705,2018-06-29,0.35/0.15,6.24,26433.4,167.0,0.375,-0.375,0.165,-0.143,300,400,-1.7499999999999716,-10.099999999999966,-524.9999999999915,162.41287856530516,356.6546631999999,92295.0,91770.00000000001,-1044.0675417652965,69900.0,2018
20180705,2018-06-29,0.25/0.1,6.24,26433.4,81.60000000000001,0.222,-0.24,0.089,-0.109,300,300,7.050000000000011,-5.949999999999989,2115.0000000000036,160.61506775713215,278.8223218,47910.0,50025.0,1675.5626104428713,65519.99999999999,2018
20180705,2018-07-02,0.35/0.15,3.24,26265.6,140.0,0.39,-0.328,0.16,-0.131,300,300,16.999999999999986,-3.25,5099.999999999995,339.0196102092338,328.2200524,72990.0,78090.0,4432.760337390761,48000.0,2018
20180705,2018-07-02,0.25/0.1,3.24,26265.6,73.4,0.224,-0.248,0.111,-0.094,200,300,8.800000000000011,-17.999999999999986,2640.0000000000036,250.12995395647656,271.9546672,43800.0,46440.0,2117.915378843527,67980.0,2018
20180705,2018-07-03,0.35/0.15,2.24,26246.4,108.89999999999999,0.365,-0.32,0.146,-0.164,300,200,15.099999999999994,-0.5,4529.999999999998,530.3099544756333,303.51495099999994,59835.0,64365.0,3696.175094524365,57330.00000000001,2018
20180705,2018-07-03,0.25/0.1,2.24,26246.4,75.75,0.278,-0.232,0.1,-0.116,300,200,14.000000000000007,-0.9000000000000057,4200.000000000002,399.9558227688098,264.3680476,38610.0,42810.00000000001,3535.676129631192,67275.0,2018
20180705,2018-07-04,0.35/0.15,1.24,26158.8,89.15,0.317,-0.405,0.133,-0.179,200,200,-34.14999999999999,-35.64999999999999,-10244.999999999998,357.8158683631427,307.9779184,72075.0,61830.0,-10910.79378676314,33255.0,2018
20180705,2018-07-04,0.25/0.1,1.24,26158.8,55.49999999999999,0.209,-0.278,0.082,-0.109,200,200,-30.199999999999996,-34.949999999999996,-9059.999999999998,269.0225645940789,258.396826,44130.00000000001,35070.0,-9587.419390594077,43350.0,2018
20181017,2018-10-12,0.35/0.15,5.24,25274.2,180.84999999999997,0.333,-0.341,0.192,-0.16,300,500,3.3999999999999773,-22.550000000000068,1019.9999999999932,710.5666197974629,448.36948119999994,141510.0,142530.0,-138.93610099746962,95745.00000000001,2018
