period,n,h,events,raw_mean,excess_mean,ci_lo,ci_hi,sig,hit_raw
2024 design,6,5,3107,-0.38,-0.39,-1.05,0.29,no,0.447
2024 design,6,15,3106,-0.43,-0.47,-1.84,0.87,no,0.463
2024 design,6,30,3017,0.61,0.57,-1.51,2.62,no,0.478
2024 design,6,60,2706,1.66,1.62,-1.51,4.74,no,0.486
2024 design,6,120,2132,4.33,4.32,-0.79,9.58,no,0.532
2024 design,9,5,2399,-0.43,-0.45,-1.13,0.27,no,0.444
2024 design,9,15,2399,-0.32,-0.36,-1.94,1.12,no,0.461
2024 design,9,30,2322,0.88,0.84,-1.57,3.15,no,0.481
2024 design,9,60,2058,1.82,1.83,-2.15,5.65,no,0.488
2024 design,9,120,1583,5.11,5.1,-1.08,11.76,no,0.534
2024 design,12,5,1945,-0.11,-0.13,-1.02,0.69,no,0.446
2024 design,12,15,1945,-0.12,-0.18,-2.04,1.64,no,0.462
2024 design,12,30,1878,0.56,0.53,-2.44,3.31,no,0.477
2024 design,12,60,1643,1.25,1.3,-3.41,5.92,no,0.49
2024 design,12,120,1222,4.64,4.62,-3.15,12.6,no,0.533
2024 design,18,5,1430,0.37,0.34,-0.71,1.36,no,0.461
2024 design,18,15,1430,0.52,0.44,-1.77,2.59,no,0.481
2024 design,18,30,1371,0.46,0.41,-3.27,4.14,no,0.484
2024 design,18,60,1177,0.37,0.43,-5.59,6.77,no,0.486
2024 design,18,120,816,2.6,2.57,-8.59,13.62,no,0.532
2024 design,24,5,1104,0.11,0.09,-0.99,1.18,no,0.467
2024 design,24,15,1104,0.82,0.76,-1.65,2.94,no,0.482
2024 design,24,30,1049,0.29,0.27,-3.55,3.91,no,0.488
2024 design,24,60,887,-1.05,-0.93,-9.64,7.05,no,0.481
2024 design,24,120,563,0.44,0.34,-15.17,14.56,no,0.536
2024 design,36,5,722,-0.11,-0.13,-1.58,1.32,no,0.46
2024 design,36,15,722,-0.12,-0.17,-3.7,3.18,no,0.493
2024 design,36,30,679,0.31,0.28,-6.47,5.53,no,0.52
2024 design,36,60,540,4.66,4.79,-5.05,14.33,no,0.528
2024 design,36,120,264,10.97,10.84,-6.97,26.04,no,0.591
2025 in-sample,6,5,3499,-0.55,-0.56,-1.09,-0.01,yes,0.463
2025 in-sample,6,15,3495,-0.26,-0.29,-1.26,0.68,no,0.48
2025 in-sample,6,30,3397,-0.88,-0.92,-2.57,0.61,no,0.475
2025 in-sample,6,60,3121,0.05,-0.01,-2.5,2.4,no,0.49
2025 in-sample,6,120,2477,0.9,0.85,-3.39,5.26,no,0.516
2025 in-sample,9,5,2633,-0.7,-0.72,-1.3,-0.18,yes,0.452
2025 in-sample,9,15,2629,-0.29,-0.34,-1.45,0.76,no,0.483
2025 in-sample,9,30,2553,-0.8,-0.86,-2.66,0.86,no,0.473
2025 in-sample,9,60,2339,0.27,0.21,-2.74,3.01,no,0.492
2025 in-sample,9,120,1812,0.69,0.63,-4.48,5.68,no,0.511
2025 in-sample,12,5,2141,-0.77,-0.8,-1.43,-0.19,yes,0.448
2025 in-sample,12,15,2139,-0.02,-0.08,-1.26,1.07,no,0.485
2025 in-sample,12,30,2068,-0.53,-0.59,-2.69,1.37,no,0.477
2025 in-sample,12,60,1875,0.67,0.59,-2.88,3.94,no,0.498
2025 in-sample,12,120,1413,0.75,0.7,-5.5,6.9,no,0.509
2025 in-sample,18,5,1504,-0.69,-0.71,-1.48,0.05,no,0.453
2025 in-sample,18,15,1502,-0.0,-0.04,-1.64,1.45,no,0.491
2025 in-sample,18,30,1444,-0.69,-0.71,-3.5,1.99,no,0.471
2025 in-sample,18,60,1290,1.42,1.43,-3.0,5.92,no,0.499
2025 in-sample,18,120,909,1.5,1.64,-8.02,10.66,no,0.508
2025 in-sample,24,5,1150,-0.49,-0.5,-1.39,0.37,no,0.456
2025 in-sample,24,15,1148,-0.11,-0.14,-2.07,1.65,no,0.498
2025 in-sample,24,30,1096,-0.94,-0.96,-4.32,2.26,no,0.47
2025 in-sample,24,60,955,1.17,1.15,-4.57,7.2,no,0.502
2025 in-sample,24,120,609,1.33,1.66,-10.04,12.83,no,0.514
2025 in-sample,36,5,732,-0.18,-0.19,-1.31,0.86,no,0.464
2025 in-sample,36,15,732,0.91,0.89,-1.73,3.14,no,0.519
2025 in-sample,36,30,693,1.82,1.83,-2.5,5.77,no,0.509
2025 in-sample,36,60,580,6.52,6.64,-0.03,13.31,no,0.541
2025 in-sample,36,120,301,12.0,12.77,-1.61,25.88,no,0.588
2026 holdout,6,5,1208,0.05,0.03,-1.01,1.11,no,0.49
2026 holdout,6,15,1208,0.86,0.87,-1.56,3.24,no,0.49
2026 holdout,6,30,1175,2.36,2.53,-1.0,6.32,no,0.502
2026 holdout,6,60,1054,2.3,2.22,-3.84,8.56,no,0.517
2026 holdout,6,120,832,3.03,2.83,-6.17,13.0,no,0.525
2026 holdout,9,5,943,0.63,0.6,-0.46,1.67,no,0.504
2026 holdout,9,15,943,1.17,1.16,-1.54,3.79,no,0.495
2026 holdout,9,30,918,2.06,2.25,-1.81,6.46,no,0.502
2026 holdout,9,60,811,1.16,1.14,-6.89,9.33,no,0.506
2026 holdout,9,120,625,2.6,2.61,-9.07,15.21,no,0.534
2026 holdout,12,5,775,0.42,0.38,-0.82,1.51,no,0.493
2026 holdout,12,15,775,1.24,1.22,-1.83,4.12,no,0.492
2026 holdout,12,30,752,2.16,2.35,-2.35,7.06,no,0.507
2026 holdout,12,60,654,0.32,0.23,-8.78,9.67,no,0.495
2026 holdout,12,120,489,1.8,1.61,-11.72,17.01,no,0.53
2026 holdout,18,5,574,1.16,1.09,-0.36,2.5,no,0.512
2026 holdout,18,15,574,2.34,2.26,-1.19,5.82,no,0.51
2026 holdout,18,30,553,2.63,2.71,-3.37,8.73,no,0.532
2026 holdout,18,60,471,2.97,2.79,-8.68,15.57,no,0.516
2026 holdout,18,120,330,7.23,6.82,-11.16,28.07,no,0.564
2026 holdout,24,5,450,1.68,1.61,-0.19,3.35,no,0.518
2026 holdout,24,15,450,2.81,2.72,-1.33,7.2,no,0.507
2026 holdout,24,30,430,3.62,3.76,-2.37,9.78,no,0.542
2026 holdout,24,60,354,4.9,4.69,-7.79,18.84,no,0.528
2026 holdout,24,120,231,18.02,17.67,-1.55,39.65,no,0.61
2026 holdout,36,5,297,2.12,2.09,-0.52,4.47,no,0.542
2026 holdout,36,15,297,1.1,1.09,-4.36,6.06,no,0.492
2026 holdout,36,30,278,1.02,1.17,-7.39,8.98,no,0.504
2026 holdout,36,60,222,7.13,6.95,-12.84,26.89,no,0.527
2026 holdout,36,120,108,25.25,25.53,-5.49,61.26,no,0.63
