period,q,h,nobs,abs_ratio,exabs,lo,hi,sig
2024 design,0,15,2713,0.624,-7.16,-7.92,-6.34,True
2024 design,1,15,2711,0.789,-4.01,-4.93,-2.92,True
2024 design,2,15,2750,0.918,-1.6,-2.56,-0.6,True
2024 design,3,15,2729,1.131,2.55,1.32,3.76,True
2024 design,4,15,2734,1.588,11.13,6.06,17.72,True
2024 design,0,30,2556,0.609,-10.49,-11.81,-9.03,True
2024 design,1,30,2578,0.785,-5.81,-7.27,-4.15,True
2024 design,2,30,2614,0.938,-1.7,-3.56,0.2,False
2024 design,3,30,2605,1.144,3.95,1.91,6.24,True
2024 design,4,30,2597,1.58,15.44,7.85,25.67,True
2024 design,0,60,2232,0.6,-15.23,-17.63,-12.34,True
2024 design,1,60,2306,0.77,-8.85,-11.34,-6.1,True
2024 design,2,60,2341,0.932,-2.61,-6.0,0.89,False
2024 design,3,60,2382,1.158,6.03,1.89,10.35,True
2024 design,4,60,2316,1.573,21.75,9.54,37.14,True
2025 in-sample,0,15,2881,0.728,-4.67,-5.47,-3.77,True
2025 in-sample,1,15,2835,0.889,-1.9,-2.84,-0.77,True
2025 in-sample,2,15,2846,0.953,-0.76,-1.67,0.16,False
2025 in-sample,3,15,2856,1.026,0.47,-0.58,1.61,False
2025 in-sample,4,15,2850,1.33,5.56,3.33,7.93,True
2025 in-sample,0,30,2762,0.722,-6.76,-8.15,-5.26,True
2025 in-sample,1,30,2694,0.88,-2.94,-4.49,-1.09,True
2025 in-sample,2,30,2675,0.965,-0.87,-2.4,0.69,False
2025 in-sample,3,30,2706,1.051,1.3,-0.35,3.13,False
2025 in-sample,4,30,2714,1.301,7.24,3.83,10.88,True
2025 in-sample,0,60,2517,0.714,-9.66,-12.19,-6.59,True
2025 in-sample,1,60,2405,0.892,-3.69,-6.32,-0.94,True
2025 in-sample,2,60,2388,0.945,-1.95,-4.34,0.46,False
2025 in-sample,3,60,2365,1.055,1.81,-1.05,4.75,False
2025 in-sample,4,60,2448,1.306,10.32,4.4,16.65,True
2026 holdout,0,15,862,0.734,-6.26,-7.99,-4.08,True
2026 holdout,1,15,850,0.926,-1.74,-3.25,0.12,False
2026 holdout,2,15,864,1.008,0.24,-2.1,2.73,False
2026 holdout,3,15,881,1.14,3.2,1.0,5.21,True
2026 holdout,4,15,863,1.368,8.67,3.71,14.41,True
2026 holdout,0,30,818,0.72,-9.31,-12.17,-5.55,True
2026 holdout,1,30,807,0.9,-3.25,-6.13,-0.15,True
2026 holdout,2,30,810,1.054,2.15,-1.79,6.13,False
2026 holdout,3,30,848,1.116,3.65,-0.26,7.61,False
2026 holdout,4,30,821,1.357,11.75,3.01,21.35,True
2026 holdout,0,60,748,0.698,-14.37,-20.62,-6.6,True
2026 holdout,1,60,730,0.842,-7.81,-12.65,-2.68,True
2026 holdout,2,60,709,1.046,2.58,-3.02,8.75,False
2026 holdout,3,60,747,1.249,11.94,3.24,21.91,True
2026 holdout,4,60,738,1.282,13.59,3.51,23.3,True
