expiry,cfg,entry_date,exit_date,dte,sessions_held,spot_in,spot_out,legs_marked_intrinsic,sc_k,sp_k,lc_k,lp_k,sc_d,sp_d,lc_d,lp_d,lc_is_outermost,lp_is_outermost,credit,exit_pnl_pts,max_profit_pts,max_dd_pts,call_width,put_width,gross,slip,stat,net,maxloss,h_sc_n,h_sc_pnl,h_sc_prem,h_sc_cost,h_sp_n,h_sp_pnl,h_sp_prem,h_sp_cost,h_pnl,h_prem,h_cost,h_n,year
20250102,0.25/0.05,2024-12-27,2025-01-02,6.24,5,23870.25,24159.95,0,24150,23600,24550,23050,0.267,-0.243,0.052,-0.047,0,0,108.69999980926514,80.7500001937151,94.74999955296516,-80.90000331401825,400,550,60562.50014528632,696.280851701865,340.98360369701294,59525.23568988744,330975.00014305115,0,0.0,0.0,0.0,3,3.0999984741210938,328.0,1101.636005357578,3.0999984741210938,328.0,1101.636005357578,3,2024
20250102,0.25/0.1,2024-12-27,2025-01-02,6.24,5,23870.25,24159.95,0,24150,23600,24400,23300,0.267,-0.243,0.101,-0.1,0,0,86.39999961853027,58.69999998807907,72.74999940395355,-58.300004959106445,250,300,44024.9999910593,753.1123654047972,348.7834437705735,42923.10418188393,160200.0002861023,0,0.0,0.0,0.0,3,3.0999984741210938,328.0,1101.636005357578,3.0999984741210938,328.0,1101.636005357578,3,2024
20250102,0.35/0.15,2024-12-27,2025-01-02,6.24,5,23870.25,24159.95,0,24050,23750,24300,23450,0.358,-0.359,0.155,-0.158,0,0,132.59999465942383,13.699991583824158,75.89999318122864,-65.50000715255737,250,300,10274.993687868118,785.7433645951916,469.5727004199027,9019.677622853023,125550.00400543213,1,-10.0,99.25,369.7472688206016,4,-30.350006103515625,678.0500030517578,2036.89095961075,-40.350006103515625,777.3000030517578,2406.6382284313518,5,2024
20250109,0.25/0.05,2025-01-03,2025-01-09,6.24,5,24083.3,23529.7,0,24400,23750,24850,23200,0.255,-0.235,0.048,-0.046,0,0,116.60000133514404,-105.44999562203884,43.95000123977661,-126.3999969959259,450,550,-79087.49671652913,1802.691080233072,415.7433384912333,-81305.93113525343,325049.99899864197,1,-10.0,66.4000015258789,1440.1446336677016,5,3.1500091552734375,653.4999847412109,1780.6928731530047,-6.8499908447265625,719.8999862670898,3220.837506820706,6,2025
20250109,0.25/0.1,2025-01-03,2025-01-09,6.24,5,24083.3,23529.7,0,24400,23750,24650,23450,0.255,-0.235,0.109,-0.101,0,0,87.9000015258789,-132.74999541044235,30.000001907348633,-140.44999837875366,250,300,-99562.49655783176,2027.6544834361848,426.9303859990227,-102017.08142726697,159074.99885559082,1,-10.0,66.4000015258789,1440.1446336677016,5,3.1500091552734375,653.4999847412109,1780.6928731530047,-6.8499908447265625,719.8999862670898,3220.837506820706,6,2025
20250109,0.35/0.15,2025-01-03,2025-01-09,6.24,5,24083.3,23529.7,0,24300,23900,24550,23600,0.334,-0.335,0.158,-0.157,0,0,129.3000030517578,-168.25000762939453,29.59999656677246,-169.25,250,300,-126187.5057220459,2808.918834832629,642.1696198512078,-129638.59417672973,128024.99771118164,1,-10.0,95.0999984741211,1953.664730944453,5,31.650009155273438,1086.599998474121,2288.533822248622,21.650009155273438,1181.6999969482422,4242.198553193075,6,2025
20250116,0.25/0.05,2025-01-10,2025-01-16,6.24,5,23446.0,23299.65,0,23800,23150,24250,22550,0.235,-0.263,0.047,-0.053,0,0,121.70000076293945,121.10000075027347,121.40000076591969,-38.90000581741333,450,600,90825.0005627051,2665.846099527046,349.8027605996748,87809.35170257838,358724.9994277954,1,26.900001525878906,64.8499984741211,1317.9438440550366,3,-4.200004577636719,329.50000762939453,3044.6576969551425,22.699996948242188,394.3500061035156,4362.601541010179,4,2025
20250116,0.25/0.1,2025-01-10,2025-01-16,6.24,5,23446.0,23299.65,0,23800,23150,24050,22750,0.235,-0.263,0.101,-0.093,0,0,97.85000038146973,97.35000037029386,97.60000038146973,-42.500006675720215,250,400,73012.50027772039,3249.710996203473,357.96643145513247,69404.82285006178,226612.4997138977,1,26.900001525878906,64.8499984741211,1317.9438440550366,3,-4.200004577636719,329.50000762939453,3044.6576969551425,22.699996948242188,394.3500061035156,4362.601541010179,4,2025
20250116,0.35/0.15,2025-01-10,2025-01-16,6.24,5,23446.0,23299.65,0,23650,23300,23950,22900,0.353,-0.363,0.146,-0.141,0,0,162.14999389648438,150.94999370723963,158.49999392032623,-47.6000075340271,300,400,113212.49528042972,3578.632282897619,467.19493158879175,109166.6680659433,178387.50457763672,1,17.650001525878906,115.1500015258789,1470.690253798498,4,3.7499847412109375,652.8000030517578,4631.615726767735,21.399986267089844,767.9500045776367,6102.305980566233,5,2025
20250123,0.25/0.05,2025-01-17,2025-01-23,6.24,5,23199.05,23230.85,0,23500,22900,23950,22350,0.252,-0.236,0.047,-0.05,0,0,104.60000133514404,104.05000133812428,104.05000133812428,-51.4500036239624,450,550,78037.5010035932,1376.9471176695838,328.4117144060119,76332.14217151761,334049.99899864197,3,10.650009155273438,220.9499969482422,2099.312789024906,3,24.900001525878906,205.6999969482422,1460.8966093770173,35.550010681152344,426.6499938964844,3560.2093984019234,6,2025
20250123,0.25/0.1,2025-01-17,2025-01-23,6.24,5,23199.05,23230.85,0,23500,22900,23750,22600,0.252,-0.236,0.1,-0.101,0,0,81.10000038146973,80.65000039339066,80.65000039339066,-34.35000419616699,250,300,60487.50029504299,1608.8594781733004,336.45714653771216,58542.18367033198,164174.9997138977,3,10.650009155273438,220.9499969482422,2099.312789024906,3,24.900001525878906,205.6999969482422,1460.8966093770173,35.550010681152344,426.6499938964844,3560.2093984019234,6,2025
20250123,0.35/0.15,2025-01-17,2025-01-23,6.24,5,23199.05,23230.85,0,23400,23050,23650,22750,0.338,-0.344,0.148,-0.156,0,0,125.10000038146973,124.50000038743019,124.50000038743019,-29.79999351501465,250,300,93375.00029057264,1460.0679419476096,420.91643052747963,91494.01591809756,131174.9997138977,3,24.800010681152344,299.5999984741211,1471.0471473222694,3,24.150001525878906,335.6499938964844,1427.0077402141992,48.95001220703125,635.2499923706055,2898.0548875364684,6,2025
20250130,0.25/0.05,2025-01-24,2025-01-30,6.24,5,23241.3,23159.4,0,23550,22900,24000,22350,0.267,-0.238,0.054,-0.053,0,0,123.14999961853027,120.34999969601631,120.49999955296516,-61.750003814697266,450,550,90262.49977201223,1504.867548813987,354.26558308605684,88403.36664011219,320137.5002861023,1,10.950004577636719,72.94999694824219,365.86328699181763,4,-19.600013732910156,480.1000061035156,2754.1187082286315,-8.650009155273438,553.0500030517578,3119.981995220449,5,2025
20250130,0.25/0.1,2025-01-24,2025-01-30,6.24,5,23241.3,23159.4,0,23550,22900,23850,22550,0.267,-0.238,0.095,-0.095,0,0,102.14999961853027,99.39999969303608,99.69999973475933,-44.75000476837158,300,350,74549.99976977706,1611.7709805173502,361.41318485788196,72576.81560440183,185887.5002861023,1,10.950004577636719,72.94999694824219,365.86328699181763,4,-19.600013732910156,480.1000061035156,2754.1187082286315,-8.650009155273438,553.0500030517578,3119.981995220449,5,2025
20250130,0.35/0.15,2025-01-24,2025-01-30,6.24,5,23241.3,23159.4,0,23450,23100,23750,22700,0.348,-0.368,0.138,-0.144,0,0,165.10000228881836,147.25000303983688,155.70000226795673,-75.3000020980835,300,400,110437.50227987766,1301.155763511664,471.04072499686947,108665.30579136913,176174.99828338623,1,16.29999542236328,108.8499984741211,453.5542427509587,4,-12.550003051757812,851.9499969482422,2064.2871723293533,3.7499923706054688,960.7999954223633,2517.841415080312,5,2025
