arm,n,net,per_trade,ci_lo,ci_hi,capital,ret_%,ann_%,sharpe,sortino,maxDD,DD_%,win_%,worst,cfg,period
condor only,53,-402834,-7601,-39875,22796,516945,-77.9,-76.5,-0.5,-0.57,1291328,249.8,64.2,-328691,0.25/0.05,2025 in-sample
+ hedge 1x,53,-199516,-3764,-36581,26615,741917,-26.9,-26.4,-0.29,-0.32,1234245,166.4,67.9,-316734,0.25/0.05,2025 in-sample
+ hedge 2x,53,3801,72,-33745,31402,898587,0.4,0.4,-0.06,-0.07,1177162,131.0,71.7,-319638,0.25/0.05,2025 in-sample
+ hedge 3x,53,207119,3908,-31345,37134,1109718,18.7,18.3,0.14,0.18,1120079,100.9,73.6,-330930,0.25/0.05,2025 in-sample
condor only,17,1876,110,-64829,58532,672420,0.3,0.9,-0.04,-0.05,349521,52.0,64.7,-267844,0.25/0.05,2026 holdout
+ hedge 1x,17,-39042,-2297,-69682,58638,1154425,-3.4,-10.3,-0.2,-0.24,386764,33.5,64.7,-298322,0.25/0.05,2026 holdout
+ hedge 2x,17,-79961,-4704,-75448,58801,1627408,-4.9,-15.0,-0.34,-0.39,460904,28.3,64.7,-328801,0.25/0.05,2026 holdout
+ hedge 3x,17,-120879,-7111,-82464,60409,2135245,-5.7,-17.3,-0.46,-0.5,545826,25.6,64.7,-359279,0.25/0.05,2026 holdout
condor only,53,-301451,-5688,-28485,16668,301657,-99.9,-98.0,-0.52,-0.78,841920,279.1,62.3,-196090,0.25/0.1,2025 in-sample
+ hedge 1x,53,-98134,-1852,-25136,20530,551047,-17.8,-17.5,-0.22,-0.29,737337,133.8,62.3,-184133,0.25/0.1,2025 in-sample
+ hedge 2x,53,105184,1985,-22278,25392,787860,13.4,13.1,0.08,0.11,680254,86.3,67.9,-188325,0.25/0.1,2025 in-sample
+ hedge 3x,53,308502,5821,-20379,32001,1024672,30.1,29.5,0.34,0.44,689010,67.2,66.0,-197425,0.25/0.1,2025 in-sample
condor only,17,-152874,-8993,-65754,41748,364635,-41.9,-128.2,-0.59,-0.72,398499,109.3,52.9,-217338,0.25/0.1,2026 holdout
+ hedge 1x,17,-193793,-11400,-69655,40852,804565,-24.1,-73.7,-0.76,-0.9,465063,57.8,52.9,-247816,0.25/0.1,2026 holdout
+ hedge 2x,17,-234711,-13807,-75219,41192,1335115,-17.6,-53.8,-0.89,-1.05,547155,41.0,58.8,-278294,0.25/0.1,2026 holdout
+ hedge 3x,17,-275629,-16213,-82398,42302,1850674,-14.9,-45.6,-0.99,-1.12,632077,34.2,58.8,-308773,0.25/0.1,2026 holdout
condor only,53,98738,1863,-22380,26762,230033,42.9,42.1,0.12,0.25,714335,310.5,54.7,-163354,0.35/0.15,2025 in-sample
+ hedge 1x,53,366247,6910,-18871,32511,648159,56.5,55.4,0.46,0.81,655114,101.1,58.5,-190948,0.35/0.15,2025 in-sample
+ hedge 2x,53,633756,11958,-16451,39026,1063225,59.6,58.5,0.74,1.1,616090,57.9,58.5,-225803,0.35/0.15,2025 in-sample
+ hedge 3x,53,901265,17005,-15255,47367,1432616,62.9,61.7,0.95,1.49,656942,45.9,66.0,-260659,0.35/0.15,2025 in-sample
condor only,17,-317442,-18673,-78480,41602,322118,-98.5,-301.4,-1.07,-2.11,623588,193.6,47.1,-247267,0.35/0.15,2026 holdout
+ hedge 1x,17,-319910,-18818,-80206,42755,991601,-32.3,-98.7,-1.1,-2.09,597597,60.3,47.1,-231467,0.35/0.15,2026 holdout
+ hedge 2x,17,-322379,-18963,-85292,45445,1743239,-18.5,-56.6,-1.09,-1.73,571607,32.8,47.1,-247189,0.35/0.15,2026 holdout
+ hedge 3x,17,-324848,-19109,-93237,49824,2494877,-13.0,-39.8,-1.04,-1.58,545617,21.9,52.9,-284526,0.35/0.15,2026 holdout
